design_key,impl_key,relation,strength,notes
gapped-condensate,predicted:josephson-effect:lock-fails-above-gap-frequency,predicts,should,Lock rides on 2Δ/h.
gapped-condensate,predicted:superconductivity:unpinned-vortices-kill-persistent-current,predicts,must,Persistent I needs pinned vortices.
gapped-condensate,bose-einstein-condensate:consistency_gap:family-tension,incompatible,must,No pairing gap ⇒ not this condensate.
gapped-condensate,predicted:quantum-hall-effect:not-a-pairing-condensate,predicts,should,QHE stays off this machine.
chargeless-superflow,superfluid-helium-4:hardware_scale:connected-liquid,entails,must,
chargeless-superflow,superfluid-helium-4:energy_barrier:t-lambda,entails,must,
chargeless-superflow,superfluid-helium-4:emergent_output:circulation-quantum,entails,must,h/m4 not h/2e.
chargeless-superflow,superfluid-helium-4:emergent_output:zero-hold-power,entails,must,
chargeless-superflow,superfluid-helium-4:consistency_gap:gapped-name-loose,entails,must,Commits to the loose family name.
chargeless-superflow,predicted:meissner:no-expulsion-in-he4,predicts,must,No charge ⇒ no χ=−1.
chargeless-superflow,predicted:bose-einstein-condensate:no-fountain-in-dilute-cloud,predicts,must,Dilute BEC is not a superleak / fountain.
energy-gate,photoelectric-threshold:hardware_scale:single-electron,entails,must,N=1.
energy-gate,photoelectric-threshold:energy_barrier:work-function,entails,must,
energy-gate,photoelectric-threshold:failure_mode:under-threshold,entails,must,
energy-gate,ionization-threshold:energy_barrier:ionization-energy,entails,must,
energy-gate,pair-production:failure_mode:no-recoil-partner,entails,must,
energy-gate,pair-production:energy_barrier:two-mc2,entails,must,
energy-gate,semiconductor-gap-absorption:energy_barrier:gap,predicts,must,Same gate family.
energy-gate,predicted:work-function-thermionic:same-face-same-phi,predicts,should,Same-sample φ identity.
energy-gate,predicted:photoconductivity:edge-equals-absorption-eg,predicts,must,Onset tracks absorption edge.
energy-gate,photoelectric-threshold:consistency_gap:underived-phi,entails,must,Most gate energies are taken.
energy-gate,muon-catalyzed-fusion:hardware_scale:muon-plus-two-nuclei,entails,must,Nuclear hydrogen gate needs the muon.
energy-gate,muon-catalyzed-fusion:failure_mode:no-muon,entails,must,No muon ⇒ channel closed.
energy-gate,predicted:muon-catalyzed-fusion:muon-free-cell-is-null,predicts,must,A muon-free hydride is not this cycle.
energy-gate,coulomb-blockade:energy_barrier:charging-energy,entails,should,Charging is an N=1 gate.
energy-gate,deuteron-photodisintegration:energy_barrier:binding,entails,must,Nuclear unbinding sibling.
energy-gate,pyroelectric-fusion:failure_mode:no-field-or-no-d,entails,should,Beam-target D–D still needs a field and D.
gapped-condensate,quantum-point-contact:consistency_gap:not-qhe,predicts,should,QPC stays off this machine.
gapped-condensate,aharonov-bohm:consistency_gap:not-pair-quantum,predicts,should,h/e stays off the pair increment.
oscillator-grid,mossbauer-effect:failure_mode:no-lattice,entails,should,Recoilless channel dies with the grid.
polar-latch,pyroelectric-fusion:hardware_scale:crystal-plus-d,predicts,should,Polar engine can write a beam voltage.
edge-channel,quantum-hall-effect:hardware_scale:2deg,entails,must,2DEG.
edge-channel,quantum-hall-effect:clock_latency:cyclotron,entails,must,ωc.
edge-channel,quantum-hall-effect:energy_barrier:landau-gap,entails,must,Landau/mobility gap.
edge-channel,quantum-hall-effect:failure_mode:in-plane-b,entails,must,In-plane B is a non-occurrence.
edge-channel,quantum-hall-effect:failure_mode:off-plateau,entails,must,
edge-channel,quantum-hall-effect:failure_mode:thermal-current,entails,must,
edge-channel,quantum-hall-effect:emergent_output:rk-plateau,entails,must,RH = h/νe².
edge-channel,quantum-hall-effect:consistency_gap:underived-rk,entails,must,RK taken.
edge-channel,predicted:quantum-hall-effect:not-a-pairing-condensate,predicts,must,Not the pairing condensate.
edge-channel,predicted:edge-channel:qpc-is-not-this-edge,predicts,must,QPC stays off this machine.
edge-channel,predicted:edge-channel:qshe-cousin-if-filed,predicts,should,Second core member not yet filed.
phase-space-condensate,bose-einstein-condensate:hardware_scale:phase-space-density,entails,must,
phase-space-condensate,bose-einstein-condensate:energy_barrier:tc-n,entails,must,
phase-space-condensate,bose-einstein-condensate:failure_mode:above-tc,entails,must,
phase-space-condensate,bose-einstein-condensate:failure_mode:density-drop,entails,must,
phase-space-condensate,bose-einstein-condensate:emergent_output:mode-occupation,entails,must,
phase-space-condensate,bose-einstein-condensate:consistency_gap:family-tension,entails,must,
phase-space-condensate,predicted:bose-einstein-condensate:no-fountain-in-dilute-cloud,predicts,must,Not chargeless-superflow.
landauer-channel,quantum-point-contact:hardware_scale:ballistic-constriction,entails,must,
landauer-channel,quantum-point-contact:energy_barrier:subband-edges,entails,must,
landauer-channel,quantum-point-contact:failure_mode:pinch-off,entails,must,
landauer-channel,quantum-point-contact:emergent_output:two-e-squared-over-h,entails,must,
landauer-channel,quantum-point-contact:consistency_gap:not-qhe,entails,must,
landauer-channel,predicted:edge-channel:qpc-is-not-this-edge,predicts,must,Same split seen from this side.
oscillator-grid,phonon-dispersion:hardware_scale:crystalline-grid,entails,must,
oscillator-grid,phonon-dispersion:clock_latency:allowed-clock-table,entails,must,ω(q).
oscillator-grid,debye-cutoff:hardware_scale:three-n-modes,entails,must,3N.
oscillator-grid,melting:failure_mode:tm-cliff,entails,must,Grid loss.
oscillator-grid,melting:consistency_gap:lindemann-not-derived,entails,must,
oscillator-grid,predicted:speed-of-sound:shear-dies-at-melt,predicts,must,G → 0 at Tm.
oscillator-grid,predicted:thermal-conductivity-phonon:kappa-dies-at-tm,predicts,must,Crystal κ dies with the grid.
oscillator-grid,predicted:phonon-dispersion:soft-mode-before-tm,predicts,should,Optional precursor; first-order melts may skip it.
ensemble-average,thermal-equilibrium-temperature:hardware_scale:one-over-sqrt-n,entails,must,Statistical buffer.
ensemble-average,thermal-equilibrium-temperature:consistency_gap:underived-k-and-n,entails,must,k not extracted.
ensemble-average,stefan-boltzmann:consistency_gap:defined-sigma,entails,must,σ defined.
ensemble-average,curie-paramagnetism:failure_mode:order-lock,predicts,must,Latch replaces the average.
ensemble-average,electron-heat-capacity:failure_mode:superconducting-gap,predicts,must,Gap replaces γT.
ensemble-average,predicted:thermal-equilibrium-temperature:few-spin-no-stable-t,predicts,must,Negative experiment for the missing N-cliff.
ensemble-average,predicted:ensemble-average:shot-noise-is-not-this-machine,predicts,should,Shot noise is a different machine; no effect file yet.
exchange-pin,exchange-bias:hardware_scale:nested-latches,entails,must,Bilayer is the hardware.
exchange-pin,exchange-bias:failure_mode:blocking,entails,must,TB not FM Tc.
exchange-pin,exchange-bias:emergent_output:zero-hold-power,entails,must,
exchange-pin,exchange-bias:consistency_gap:interface-jex,entails,must,
exchange-pin,predicted:exchange-bias:hex-gone-above-tb-while-fm-latched,predicts,must,The split that justifies a ninth design.
exchange-pin,predicted:ferromagnetic-hysteresis:unshifted-loop-without-afm,predicts,must,No pin ⇒ Hex → 0.
exchange-pin,predicted:exchange-bias:no-hex-below-kv,predicts,should,Also predicted from the parent latch.
