impl_key,effect_slug,source_path,clause,role,aspect,resource,observed_text,implied_text,inference_kind,description,operator,value_si,si_unit,value_text,confidence,notes,updated
blackbody-spectrum:clock_latency:kt-over-h,blackbody-spectrum,library/blackbody-spectrum.md,clock_latency,requirement,speed,frequency,"Mode occupancy is of order one when hν ∼ kT. With defined h and k, kT/h ≈ 6.25 THz at 300 K. Optical frequencies at room temperature sit deep in the Wien tail. Wall thermalization must also finish.",Frequencies well below kT/h sit in the Rayleigh–Jeans envelope; frequencies well above it are exponentially empty. A wall that has not finished exchanging does not emit a single-T spectrum.,envelope,The spectral clock is the defined ratio kT/h plus the wall exchange window.,,,,kT/h (≈ 6.25 THz at 300 K),medium,"h and k are defined. 6.25 THz is arithmetic at 300 K, not an extracted machine clock.",2026-08-17
blackbody-spectrum:consistency_gap:underived-h,blackbody-spectrum,library/blackbody-spectrum.md,consistency_gap,gap,scale,volume,"Real cavities have shape-dependent density-of-states corrections (Weyl terms, cutoffs), measured in micromachined and cryogenic resonators. The mapping does not derive h or the Planck occupation factor from node rules.",QSA takes the measured curve and the Wien product as the output specification. Mode count is the buffer; those corrections confirm that without supplying a single universal volume.,open,"h is taken, not derived, and there is no universal cavity volume. That is the same honest limit as the missing N on the temperature entry.",,,,h taken; no universal cavity volume,medium,File-level mapping is Medium.,2026-08-17
blackbody-spectrum:emergent_output:planck-curve,blackbody-spectrum,library/blackbody-spectrum.md,emergent_output,output,output,other,A heated black cavity or surface emits a smooth spectrum that depends only on T. The per-wavelength peak follows Wien’s displacement; the frequency integral is the Stefan–Boltzmann law (other entry).,"The Planck curve u(ν,T) and its Wien peak, depending only on T, are the averaged spectral output of the thermal electromagnetic population.",relabel,"The machine’s stable product is the measured Planck shape, not a derived occupation factor.",,,,"u(ν,T); Wien peak",high,"h and k are defined. Relabel the measured curve; do not extract h as a QSA machine constant. Rayleigh–Jeans is a failed high-ν envelope, not an observed output. Integral owned by stefan-boltzmann.",2026-08-17
blackbody-spectrum:energy_barrier:no-latch,blackbody-spectrum,library/blackbody-spectrum.md,energy_barrier,requirement,threshold,dimensionless,No latch. A metal wall that reflects in the optical is simply not black: ε(ν)<1 and the emitted spectrum is not Planck.,"That is a failure of the black-body boundary condition, not a stored state.",envelope,"The blackbody spectrum has an operating boundary condition (ε=1), not an energy barrier that stores a written state.",,,,no latch; ε = 1 required,medium,Cross-cite plasma-frequency-cutoff and reflection for why a metal wall is not black in the optical.,2026-08-17
blackbody-spectrum:failure_mode:few-mode,blackbody-spectrum,library/blackbody-spectrum.md,failure_mode,failure,scale,length,"Cavity modes under-populated, or size ≲ λ_max(T), give a discrete or suppressed spectrum. The output is not a Planck curve of a well-defined T.",Under-occupied modes or a cavity not large compared with the Wien band collapse the smooth spectral average.,envelope,Few-mode or undersized cavities fail the Planck output for the same statistical reason a small N fails T.,,,,size ≲ λ_max(T) or few modes,medium,"Wien λ_max T ≈ 2898 μm·K locates the band; that product follows defined h, c, k and is not a QSA extraction.",2026-08-17
blackbody-spectrum:failure_mode:non-black,blackbody-spectrum,library/blackbody-spectrum.md,failure_mode,failure,output,dimensionless,"A surface that is not black (polished metal, selective coating) emits a distorted, lower curve. ε(ν)≠1 → grey or selective emission; the shape is no longer universal.",The wall has failed the black boundary condition. The same metal can succeed as a mirror and fail as a blackbody.,envelope,Non-black surfaces do not emit the universal Planck curve.,,,,ε(ν) ≠ 1,high,"Photoemission from the same hot wall is a different machine (photoelectric-threshold, work-function-thermionic).",2026-08-17
blackbody-spectrum:failure_mode:undefined-wall-t,blackbody-spectrum,library/blackbody-spectrum.md,failure_mode,failure,threshold,temperature,"If the wall population itself has no stable T — too few contributors, or observation inside its exchange window — there is no thermal spectrum to emit.","The spectrum inherits the temperature entry’s collapse: no stable wall average, no Planck curve.",envelope,An undefined wall T removes the thermal electromagnetic output.,,,,wall T not a stable average,medium,Cross-cite thermal-equilibrium-temperature.,2026-08-17
blackbody-spectrum:hardware_scale:mode-buffer,blackbody-spectrum,library/blackbody-spectrum.md,hardware_scale,requirement,capacity,node_count,A cavity so small or so cold that only a few electromagnetic modes sit under the thermal envelope does not present the smooth Planck shape. There is no single universal cavity size; the required volume tracks λ_max(T).,"Mode occupancy under the curve must be large enough, after averaging, to trace u(ν,T) rather than a handful of discrete lines, and the cavity must be large compared with the wavelengths that carry the energy at that T.",envelope,The hardware is a densely occupied thermal electromagnetic mode set coupled to a wall that itself has a stable T. No universal volume is extracted.,,,,many modes; size ≳ λ_max(T); no universal V,medium,At 300 K the relevant wavelengths are tens of micrometres; at a few kelvin they are millimetres. Do not invent a universal cavity volume.,2026-08-17
bose-einstein-condensate:clock_latency:trap-apparatus,bose-einstein-condensate,library/bose-einstein-condensate.md,clock_latency,requirement,latency,frequency,"Trap frequencies set the sloshing / expansion clocks of the cloud; they are apparatus scales, not a universal condensate clock. There is no Josephson 2e/h lock and no cyclotron clock. Interaction-driven sound in the condensed cloud is a hydrodynamic response of an already-formed condensate.",The BEC has no metrological lock and no material gap frequency; its clocks are trap and hydro scales of an already condensed cloud.,open,"Laboratory BEC clocks are apparatus and hydro, not a universal condensate tick.",,,,trap frequencies (apparatus),high,Analogous to second sound on superfluid-helium-4.,2026-08-17
bose-einstein-condensate:consistency_gap:family-tension,bose-einstein-condensate,library/bose-einstein-condensate.md,consistency_gap,gap,barrier,energy,"An ideal-gas BEC has no measured pairing gap. Collapse is loss of macroscopic occupation and of phase coherence, not gap closure of the superconducting kind. N ~ 10^3–10^7 is a working envelope, not a derived minimum node count. The laboratory condensate is not held at zero continuous power.",The file sits in gapped-coherence because the taxonomy groups protected collective modes that die at a critical temperature. Forcing a gap onto the alkali cloud would be an interpretive overlay. QSA takes 2.612 from the ideal-gas condition.,open,"Family assignment is looser than a pairing gap; the thermal/density cliff is real, the gap language is not, and the phase-space threshold is taken rather than derived.",,,,no pairing gap; family tension,medium,"File-level mapping is Medium for this tension, the unsharp node count, and the taken 2.612. Dense 4He and dilute alkali gases are not the same hardware.",2026-08-17
bose-einstein-condensate:emergent_output:mode-occupation,bose-einstein-condensate,library/bose-einstein-condensate.md,emergent_output,output,output,dimensionless,"After release, the velocity distribution is bimodal: a narrow peak sits on a broader thermal cloud. Two independent condensates released into each other produce interference fringes.","The stable output is a macroscopic occupation of one mode — read as a condensate fraction, a narrow velocity peak, and interference contrast — only while the cloud stays above the critical phase-space density.",envelope,"The machine's product is one-mode occupation and interference contrast, not a quantized electrical constant.",min,,,N0/N > 0; interference contrast,high,No claim is made about what the condensate is. Relation to superfluid-helium-4 is analogical.,2026-08-17
bose-einstein-condensate:energy_barrier:tc-n,bose-einstein-condensate,library/bose-einstein-condensate.md,energy_barrier,requirement,threshold,temperature,The condensate fraction N0/N falls to zero as T → Tc or as the density is lowered through the threshold at fixed T. This is not a latched anisotropy barrier and not a measured superconducting gap.,The load-bearing threshold is thermal / density. Holding the condensate requires continuous cooling and trapping resources; it is not a zero-power latch.,envelope,"BEC is gated by Tc(n), not by a pairing gap or a remanence barrier.",,,,T > Tc(n) or n dropped at fixed T,high,"Contrast with permanent-magnet-latch and flux-quantization, which hold state at zero continuous power.",2026-08-17
bose-einstein-condensate:failure_mode:above-tc,bose-einstein-condensate,library/bose-einstein-condensate.md,failure_mode,failure,threshold,temperature,Warming the sample removes the bimodal peak and the interference contrast; the cloud is then an ordinary thermal gas. N0 → 0 at Tc.,T > Tc(n) destroys macroscopic occupation and phase coherence.,relabel,Thermal collapse of the condensate fraction at the density-set Tc.,min,,,T > Tc(n),high,"Working Tc sits in the nK–μK class of the apparatus envelope. Heating and three-body loss are practical routes to this collapse, not a third machine class.",2026-08-17
bose-einstein-condensate:failure_mode:density-drop,bose-einstein-condensate,library/bose-einstein-condensate.md,failure_mode,failure,capacity,dimensionless,"The trapped condensate is not a self-bound droplet: when the trap is switched off the cloud expands. Loss of atoms (background-gas collisions, three-body recombination) lowers n and can drop the sample back through Tc(n). Either route destroys the bimodal peak and the interference contrast.","Expansion, atom loss, or a weaker trap drops n through the critical line at fixed T — the same collapse as warming. Without confinement the cloud is not a stable laboratory condensate.",envelope,Spatial / density under-provisioning walks the cloud back through nλth³ ≈ 2.612.,max,2.612,1,nλth³ ≲ 2.612,high,Same critical line as the hardware-scale row; this row is the density-drop failure.,2026-08-17
bose-einstein-condensate:hardware_scale:phase-space-density,bose-einstein-condensate,library/bose-einstein-condensate.md,hardware_scale,requirement,threshold,dimensionless,"Ideal-gas threshold written as a phase-space density: n λth³ ≃ 2.612, with λth = h/√(2π m kT). 2.612 is ζ(3/2). Condensate present above that value; absent below it.","The nodes are the atoms; the buffer is the combination of number, volume, and temperature that puts enough of them in one mode. This is the measured phase-space condition taken as the specification, not a derived node rule.",envelope,A trapped cloud becomes a condensate when its phase-space density crosses the ideal-gas value 2.612.,min,2.612,1,nλth³ ≈ 2.612,high,"Envelope/relabel of the ideal-gas condition, not a derived node rule. In a harmonic trap the same condition at peak density gives Tc that scales as N^{1/3} times the trap frequency.",2026-08-17
bose-einstein-condensate:hardware_scale:working-envelope,bose-einstein-condensate,library/bose-einstein-condensate.md,hardware_scale,requirement,capacity,node_count,"Laboratory alkali condensates sit at nanokelvin to microkelvin temperatures with typical atom numbers 10^3–10^7. Those ranges are the working envelope of the existing apparatus class, not a single universal cliff.",There is no measured few-nanometre continuity cliff and no single minimum N at which the effect switches on. 10^3–10^7 is the envelope in which a stable condensate fraction is routinely read out.,envelope,"The laboratory node count is a working envelope, not a derived hardware cliff.",range,100000.0,1,N ~ 10^3–10^7; nK–μK,medium,value_si is a geometric mid-class of the quoted atom-number window. Species-by-species scattering lengths and interaction Tc shifts are medium and are not required here.,2026-08-17
brownian-motion:clock_latency:momentum-relax,brownian-motion,library/brownian-motion.md,clock_latency,requirement,latency,time,Momentum relaxation τ_p = m/γ is tens of nanoseconds for a micrometre sphere in water. Windows longer than τ_p see the overdamped random walk; shorter windows resolve ballistic segments.,"Two clocks: bath collision time, and tracer velocity-forget time τ_p. The overdamped MSD law is a clock constraint, not a different effect.",envelope,The overdamped Einstein walk applies only after the tracer has forgotten its momentum.,,,,τ_p ∼ tens of ns (μm sphere in water),medium,"Tens of ns is a class for that tracer/bath, not a universal clock.",2026-08-17
brownian-motion:consistency_gap:no-universal-radius,brownian-motion,library/brownian-motion.md,consistency_gap,gap,scale,length,The mapping does not derive k or Stokes’ 6π from node rules. There is no single particle-size cliff.,QSA takes D = kT/γ and the measured τ_p crossover as the specifications. The missing universal radius is the same statistical gap as the missing N on the temperature entry.,open,k and the Stokes prefactor are taken; no universal tracer size is extracted.,,,,k and 6π taken; no universal a,medium,File-level mapping is Medium.,2026-08-17
brownian-motion:emergent_output:einstein-d,brownian-motion,library/brownian-motion.md,emergent_output,output,output,other,"D = kT/γ and ⟨x^2⟩ = 2dDt for t ≫ τ_p. For a micrometre sphere in water, D is of order 10^{-13} m^2 s^{-1}, so the rms displacement in one second is of order a micrometre.",Diffusivity and a linearly growing MSD are the still-visible remainder of an incomplete impact average. For large bodies the emergent output on the same window is stillness.,relabel,"The named output is the Einstein relation, the electrical twin of which is 4kTRΔf.",,,,D = kT/γ; ⟨x^2⟩ = 2dDt,high,k is defined. Do not extract 10^{-13} m^2 s^{-1} as a universal machine number; it is a class for a micrometre tracer in water. Cross-cite johnson-nyquist-noise.,2026-08-17
brownian-motion:energy_barrier:no-latch,brownian-motion,library/brownian-motion.md,energy_barrier,requirement,barrier,energy,None holding a latched state. The operating resource is kT against the drag. T→0 sends D→0. Removing the bath (vacuum) removes the impact rain.,Jitter is not a stored configuration.,envelope,Brownian motion has no energy barrier that stores a state.,,,,no latch; kT vs drag,medium,k is defined.,2026-08-17
brownian-motion:failure_mode:large-body-still,brownian-motion,library/brownian-motion.md,failure_mode,failure,scale,length,"A particle so large, heavy, or overdamped that the kicks average below the resolution of the window looks still. D falls as 1/a. Everyday objects present no visible wander on the same window.","This is completion of the average — collapse of the visible effect, not a missing machine.",envelope,"When the impact average finishes inside the observation window, the named jitter disappears and the object looks still.",,,,large a / m / γ → still,high,Keep this explicit or the collapse statement looks like a missing machine rather than a finished one.,2026-08-17
brownian-motion:failure_mode:short-window,brownian-motion,library/brownian-motion.md,failure_mode,failure,latency,time,Windows ≪ τ_p resolve ballistic segments. The overdamped ⟨x^2⟩ = 2dDt envelope does not apply there.,"Clock constraint on the overdamped output, not a different machine.",envelope,Observe faster than momentum relaxation and the Einstein walk is the wrong envelope.,,,,t ≪ τ_p → ballistic,medium,Optical-tweezer experiments resolve this crossover. Knudsen or vacuum conditions separately fail Stokes γ and the Einstein relation in the form above.,2026-08-17
brownian-motion:failure_mode:t-to-zero,brownian-motion,library/brownian-motion.md,failure_mode,failure,threshold,temperature,Cooling the bath reduces the wander. T→0 sends D→0.,Shrink the thermal resource and the incomplete mechanical average disappears.,envelope,"No thermal bath energy, no Einstein diffusivity.",,,,T → 0 ⇒ D → 0,high,Shares this collapse with johnson-nyquist-noise (4kTRΔf).,2026-08-17
brownian-motion:hardware_scale:bath-and-tracer,brownian-motion,library/brownian-motion.md,hardware_scale,requirement,scale,length,"Two nested statistical scales, neither a single cliff. The fluid must itself be a large thermal population with a stable T and, for Stokes drag, a continuum mean free path short compared with the particle. Visible jitter is the failure of the impact average to finish. There is no universal radius.","Everyday stillness is the completed average; Brownian motion is the under-averaged remainder. “Visible” tracks optical resolution, T, η, and the chosen window.",open,No universal particle size is extracted. Making the tracer larger completes the average rather than crossing a hardware cliff.,,,,no universal radius; bath continuum (L ≳ λ),medium,"A micrometre “cliff” because that is where a microscope works would be a convention, not a hardware threshold. D falls as 1/a; that is a scaling of the output, not an N-cliff.",2026-08-17
casimir-force:clock_latency:cavity-mode,casimir-force,library/casimir-force.md,clock_latency,requirement,speed,frequency,Cavity modes of order c/d. Not the metal plasma period.,Clock is the gap electromagnetic spectrum.,envelope,"Mode cutoff of the gap, not ωp of the faces.",,,,~c/d,high,,2026-08-17
casimir-force:consistency_gap:taken-prefactor,casimir-force,library/casimir-force.md,consistency_gap,gap,output,other,The π²ℏc/240 prefactor is taken from the mode sum. Patch charge and roughness sit between the formula and any one apparatus.,Same class of taken output as optical δ.,open,Prefactor taken; mapping Medium.,,,,π²ℏc/240 taken,medium,,2026-08-17
casimir-force:emergent_output:one-over-d4,casimir-force,library/casimir-force.md,emergent_output,output,output,other,Ideal plate pressure π²ℏc/240d^4 ≈ 1.3 mPa at d=1 μm.,"Taken mode-sum output, not derived from a node count.",relabel,The stable output is the Casimir/Lifshitz attraction.,eq,0.0013,Pa,~1.3 mPa at 1 μm,medium,value_si is the 1 μm plate pressure class.,2026-08-17
casimir-force:energy_barrier:no-latch,casimir-force,library/casimir-force.md,energy_barrier,requirement,threshold,energy,The force is a geometry output of the mode spectrum. No stored bit.,Not a latch.,envelope,Casimir is not a memory.,,,,no latch,high,,2026-08-17
casimir-force:failure_mode:large-gap,casimir-force,library/casimir-force.md,failure_mode,failure,scale,length,Force falls as 1/d^4 (plates) and becomes unmeasurable at ordinary lab spacings.,Starving the gap (opening it) collapses the output.,envelope,Large d sends F into the noise.,min,1e-06,m,d ≳ few μm → into noise,high,,2026-08-17
casimir-force:hardware_scale:gap,casimir-force,library/casimir-force.md,hardware_scale,requirement,scale,length,Laboratory force sits in the 0.1–1 μm gap class (Lamoreaux 0.6–6 μm). Conducting faces required.,"The buffer is the gap (which EM modes fit), plus conducting faces.",envelope,Casimir needs a sub-μm class gap between contrasting faces.,approx,1e-06,m,d ~ 0.1–1 μm class,high,,2026-08-17
coherent-neutrino-scattering:clock_latency:weak,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,clock_latency,requirement,latency,time,Weak interaction; far below laboratory clocks.,Detector integration is collection.,envelope,Prompt weak scatter.,,,,≪ laboratory clock,high,,2026-08-17
coherent-neutrino-scattering:consistency_gap:detector-floor-not-gate,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,consistency_gap,gap,threshold,energy,Laboratory recoil threshold is an instrument floor. GF and the form factor are taken.,Do not treat the calorimeter floor as the process gate.,open,Detection floor ≠ process cliff. Mapping Medium.,,,,readout floor taken,medium,,2026-08-17
coherent-neutrino-scattering:emergent_output:n-squared-recoil,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,emergent_output,output,output,other,Nuclear-recoil rate enhanced as N² in the coherent window (COHERENT 2017).,N² recoils as the synchronized output of many νA events.,envelope,Coherent N² recoil rate.,,,,σ ∝ N² in-window,high,,2026-08-17
coherent-neutrino-scattering:energy_barrier:coherence-window,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,energy_barrier,requirement,threshold,energy,No IBD 1.8 MeV gate. Coherence requires qR≪1 (Eν ≲ tens of MeV for mid-mass nuclei).,"The gate is the coherence window, not a rest-mass threshold.",envelope,qR≪1 is the operating window.,,,,qR ≪ 1; Eν ≲ 50 MeV class,high,,2026-08-17
coherent-neutrino-scattering:failure_mode:coherence-lost,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,failure_mode,failure,threshold,energy,qR≳1 (too-hard neutrino) collapses the N² channel. No nucleus ⇒ no recoil.,"Loss of coherence, not under-threshold rest-mass non-occurrence.",envelope,Hard scatter or missing nucleus kills CEνNS.,,,,qR ≳ 1 or no nucleus,high,,2026-08-17
coherent-neutrino-scattering:hardware_scale:neutrino-plus-nucleus,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,hardware_scale,requirement,scale,node_count,One neutrino plus one nucleus. Heavy N is capacity of the N² amplitude.,"Same extra-node shape as pair production, different probe.",envelope,Hardware is ν + nucleus.,eq,1.0,1,1 neutrino + 1 nucleus,high,,2026-08-17
coulomb-blockade:clock_latency:tunnel-rc,coulomb-blockade,library/coulomb-blockade.md,clock_latency,requirement,latency,time,Tunnel/charging rate set by RT and C.,Observation faster than charging is not a blockade reading.,envelope,RC / tunnel clock.,,,,~(e² RT C)⁻¹ class,medium,,2026-08-17
coulomb-blockade:consistency_gap:rq-not-hall,coulomb-blockade,library/coulomb-blockade.md,consistency_gap,gap,output,other,"RQ=h/e² here is a resistance floor for charge quantization, not a Hall plateau.",Do not identify with QHE RH.,open,"Same combination h/e², different role.",,,,RQ ≠ RH,high,,2026-08-17
coulomb-blockade:emergent_output:diamonds,coulomb-blockade,library/coulomb-blockade.md,emergent_output,output,output,other,Coulomb diamonds / staircase with period e on the island.,Stable output is a blockaded window periodic in e.,envelope,Diamond / staircase as the gated output.,,,,diamonds period e,high,,2026-08-17
coulomb-blockade:energy_barrier:charging-energy,coulomb-blockade,library/coulomb-blockade.md,energy_barrier,requirement,threshold,energy,Ec = e²/2C. Current blocked for |eV| ≲ Ec except at degeneracy.,Ec is the load-bearing gate. Not φ and not a latch barrier.,relabel,Single-electron charging gate.,eq,1.282e-23,J,Ec = e²/2C (80 μeV at 1 fF),high,,2026-08-17
coulomb-blockade:failure_mode:thermal-or-open,coulomb-blockade,library/coulomb-blockade.md,failure_mode,failure,threshold,temperature,"kT ≳ Ec, or RT ≲ RQ=h/e²≈25813 Ω, washes the diamonds out.",Thermal overrun or charge not integer are the collapses.,envelope,T too high or RT too small kills the blockade.,min,25813.0,ohm,kT≪Ec and RT≫RQ,high,,2026-08-17
coulomb-blockade:hardware_scale:small-island,coulomb-blockade,library/coulomb-blockade.md,hardware_scale,requirement,scale,other,"Island C in the aF–fF class so Ec=e²/2C exceeds kT. For C=1 fF, Ec≈80 μeV≈0.93 K.",The island is the buffer. Too large ⇒ Ec vanishes into kT.,derived,Charging-energy buffer is the island capacitance.,approx,1e-15,F,C ~ aF–fF; 1 fF → 80 μeV,high,,2026-08-17
curie-paramagnetism:clock_latency:averaged-projection,curie-paramagnetism,library/curie-paramagnetism.md,clock_latency,requirement,latency,time,Single-moment Larmor / attempt clocks are the same gigahertz-per-tesla scale already recorded on the magnet latch (γ/2π ≈ 28 GHz T^{-1}). The Curie reading is a time-averaged projection along B.,"Observation faster than the bath exchange, or faster than the moment’s relaxation in the host, is not χ = C/T.",envelope,"χ = C/T is an average over the host / bath relaxation window, not a single-spin precession readout.",,,,average over bath / host relaxation,medium,28.025 GHz/T is the single-spin carrier owned as a clock by permanent-magnet-latch. Do not treat it as a Curie-law number.,2026-08-17
curie-paramagnetism:consistency_gap:underived-c,curie-paramagnetism,library/curie-paramagnetism.md,consistency_gap,gap,capacity,node_count,The isolated-moment Curie constant C = μ_0 n g^2 μ_B^2 S(S+1)/(3k) is recorded as a descriptive prefactor. The mapping does not compute C or θ from node rules and does not invent a universal spin count.,C and θ are taken from measurement. Those are the same honest gaps as on the other ensemble-average entries.,open,"C and θ are taken, not derived, and no universal moment count is extracted.",,,,"C, θ taken; no universal N",medium,File-level mapping is Medium. k is defined.,2026-08-17
