impl_key,effect_slug,source_path,clause,role,aspect,resource,observed_text,implied_text,inference_kind,description,operator,value_si,si_unit,value_text,confidence,notes,updated
predicted:curie-paramagnetism:chi-not-a-latch-spec,curie-paramagnetism,library/curie-paramagnetism.md,energy_barrier,requirement,barrier,energy,χ = C/T cannot be used as the energy barrier of a permanent-magnet latch. The unlocked ensemble is the population the latch replaces.,If a mapping treats Curie χ as the latch barrier the anisotropy-latch design is in tension.,envelope,Unlocked χ is incompatible with a held directional state.,,,,no KV in Curie χ,high,Pairs with the extracted unlocked-no-latch row. Kept as a named downward exclusion.,2026-08-17
predicted:photoelectric-threshold:not-the-plasma-edge,photoelectric-threshold,library/photoelectric-threshold.md,energy_barrier,requirement,threshold,energy,On a given metal φ and the optical plasma / interband edge must not be required to coincide. A sample can sit below φ and below ωp (mirror no photoemission) or in other combinations.,Two gates on one surface. Identifying them collapses two designs into one number.,envelope,φ is not ωp.,,,,φ ≠ ωp (Ag ~4.3 eV vs ~3.9 eV edge),high,Library already warns. This row is the screening engine forbidding the identification.,2026-08-17
predicted:quantum-hall-effect:not-a-pairing-condensate,quantum-hall-effect,library/quantum-hall-effect.md,energy_barrier,requirement,barrier,energy,Integer QHE plateaus should not be readable as a superconducting pairing gap or as a Meissner expulsion. The hardware is a 2DEG plus Landau levels plus an edge channel.,If this claim is forced into gapped-condensate the design is over-stretched. Leave QHE unmapped as a member until it owns its own machine.,envelope,QHE is not the charged pairing condensate.,,,,Landau gap ≠ 2Δ,medium,Why QHE stayed off implication_design. Predicted as an incompatibility not as a tenth design.,2026-08-17
predicted:meissner:no-expulsion-in-he4,meissner,library/meissner.md,failure_mode,failure,scale,other,Liquid 4He below Tλ should not expel magnetic field or show χ = −1 of the Meissner kind.,No charge ⇒ no London λ ⇒ no electromagnetic expulsion. Circulation is not screening.,envelope,Chargeless superflow does not do Meissner.,,,,no χ=−1 in He-4,high,Downward from chargeless-superflow. A charged-superfluid analog would be a different machine.,2026-08-17
predicted:muon-catalyzed-fusion:muon-free-cell-is-null,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,failure_mode,failure,scale,node_count,"A muon-free hydride cell (Pd–D or Ni–H pulsed coil with no muon source) should not emit the μCF cycle: no ~100–150 dt fusions per stopped muon and no catalysis that dies with τμ or sticking.","This gate requires the muon node. Lattice strain and defect inventory are not substitutes. Cosmic-ray flux does not track bake-out or cold work.",envelope,A muon-free cell is not this machine.,eq,0.0,1,zero muons ⇒ null cycle,high,Downward from energy-gate. Bounds EM-LENR: isolate the latch; do not file that cell as μCF.,2026-08-17
predicted:edge-channel:qpc-is-not-this-edge,quantum-point-contact,library/quantum-point-contact.md,failure_mode,failure,threshold,other,"A ballistic 1D constriction gated without a perpendicular field should show 2e²/h steps (or pinch-off) and should not produce a Hall plateau at RK/ν with Rxx→0 of the integer-QHE kind.","Edge-channel hardware is a gapped 2D bulk plus an edge path. A QPC has no bulk Landau gap and needs no B.",envelope,QPC is not the edge-channel machine.,,,,2e²/h steps ≠ RH plateau,high,Downward from edge-channel. Library already states the split; this row makes it a design commitment.,2026-08-17
predicted:edge-channel:qshe-cousin-if-filed,, ,energy_barrier,requirement,barrier,energy,"A 2D topological-insulator helical edge (QSHE) or a magnetically gapped Chern-insulator edge (QAHE) that shows a quantized conductance plateau without a perpendicular-field Landau ladder would share the edge-path stack but not the integer-QHE clock. Either should be added as a second core member of edge-channel rather than forced into integer QHE or into QPC.","If this cousin is folded into the integer-QHE B-opened ladder the design is over-stretched. File it first; then promote edge-channel from draft.",envelope,QSHE / QAHE are cousins not yet in the library.,,,,helical or Chern edge; no Landau ladder,medium,effect_slug left null on purpose. Upgrade trigger for formal status. Do not mint a second predicted cousin row.,2026-08-17
predicted:bose-einstein-condensate:trap-off-is-null,bose-einstein-condensate,library/bose-einstein-condensate.md,failure_mode,failure,power,energy,"If the trap and cooling are switched off while T and n are still nominally below the last recorded Tc(n), the bimodal peak and interference contrast should vanish as the cloud expands.","Holding the dilute condensate needs continuous trap plus cool. Dark hold is not this machine.",envelope,Trap off ⇒ laboratory condensate is gone.,,,,not 0 W hold,high,Downward from phase-space-condensate. Atomic form of not-zero-hold-power. File already notes expansion after release; this row is the hold-power test.,2026-08-17
predicted:bose-einstein-condensate:no-meissner-no-london,bose-einstein-condensate,library/bose-einstein-condensate.md,failure_mode,failure,scale,other,"A dilute alkali BEC should not expel magnetic field or show χ = −1 of the Meissner kind, and it should not present a London λ.","Phase-space condensation is chargeless and has no pairing condensate. Circulation or vortices in the cloud are not electromagnetic screening.",envelope,Dilute BEC is not a London superconductor.,,,,no χ=−1; no λ,high,Twin of predicted:meissner:no-expulsion-in-he4 from the dilute-cloud side.,2026-08-17
predicted:superfluid-helium-4:tl-is-not-tc-n,superfluid-helium-4,library/superfluid-helium-4.md,energy_barrier,requirement,threshold,temperature,"Tλ at saturated vapour pressure should stay 2.17 K and should not track n^{2/3} of a dilute trapped cloud. Changing the density of an alkali BEC is not a prediction for the helium λ-line.","Dense two-fluid He-4 and dilute phase-space condensation share a thermal coherence cliff as a kind, not a number.",envelope,Tλ is not Tc(n).,eq,2.17,K,Tλ = 2.17 K ≠ Tc(n),high,Downward from phase-space-condensate and chargeless-superflow. Same honesty as thermal-cliff audit.,2026-08-17
predicted:quantum-point-contact:steps-survive-at-zero-b,quantum-point-contact,library/quantum-point-contact.md,failure_mode,failure,threshold,b_field,"A ballistic 1D constriction gated at B = 0 (or with only an in-plane field) should still show 2e²/h steps or pinch-off. A perpendicular Landau ladder is not required for the staircase.","Landauer-channel hardware is a saddle in a 2DEG reservoir, not a gapped 2D bulk. Demanding B to open the steps identifies this machine with edge-channel.",envelope,QPC steps persist with no perpendicular B.,approx,0.0,T,B = 0 still steps,high,Atomic form of no-perpendicular-b-required. Complements predicted:edge-channel:qpc-is-not-this-edge.,2026-08-17
predicted:coulomb-blockade:diamonds-are-not-landauer-steps,coulomb-blockade,library/coulomb-blockade.md,emergent_output,output,output,other,"A Coulomb-blockaded island should show bias/gate diamonds with period e set by Ec, not a two-terminal staircase locked to n×2e²/h. Opening the island into a ballistic constriction (or closing a QPC into a small island) should switch the readout from one artifact to the other, not rename it.","Charging is an N=1 energy-gate. 1D modes are a Landauer channel. Same small electron structure; different machine.",envelope,Charging diamonds are not Landauer steps.,,,,diamonds period e ≠ n×2e²/h,high,Downward from landauer-channel and energy-gate. Library already cross-cites; this row is the design commitment.,2026-08-17
predicted:cyclotron-resonance:same-omega-c-not-a-plateau,cyclotron-resonance,library/cyclotron-resonance.md,emergent_output,output,output,other,"In a 2DEG that can host both a cyclotron line and integer Hall plateaus, walking the microwave drive off ωc should kill the absorption line without moving RH off RK/ν. Walking B off a plateau should kill the flat RH without requiring the microwave line to be the collapse.","Same eB/m combination; different output. CR is a clock-match absorption; QHE is a DC edge-channel plateau.",envelope,The cyclotron line is not the Hall plateau.,,,,m* line ≠ RH = RK/ν,high,Downward from edge-channel. Uses the existing CR ↔ QHE related-entry split.,2026-08-17
predicted:coulomb-blockade:rq-is-not-rk,coulomb-blockade,library/coulomb-blockade.md,consistency_gap,gap,output,other,"RQ = h/e² as the tunnel-resistance floor that keeps island N integer should not appear as a Hall plateau at RK/ν with Rxx→0. A blockaded island is not a metrological Hall bar.","Same h/e² bricks. RQ is a charge-quantization floor; RK is an edge-channel output.",envelope,RQ is not a Hall quantum.,,,,RQ floor ≠ RH plateau,high,Promotes coulomb-blockade:consistency_gap:rq-not-hall to a design commitment. Twin of predicted:photoelectric-threshold:not-the-plasma-edge.,2026-08-17
predicted:deuteron-photodisintegration:photon-is-not-a-muon,deuteron-photodisintegration,library/deuteron-photodisintegration.md,failure_mode,failure,scale,node_count,"A 2.224 MeV photon on deuterium should unbind d → p+n and should not start a muon-catalyzed cycle: no ~100–150 dt fusions per stopped muon, and the yield should not die with τμ or α-sticking.","Opposite arrow on the same two nucleons. The unbinding gate is a photon plus a deuteron; the fusion-direction gate needs a muon.",envelope,A photodisintegration photon is not a muon catalyst.,eq,0.0,1,γ ≠ μ,high,Downward from energy-gate. Complements predicted:muon-catalyzed-fusion:muon-free-cell-is-null.,2026-08-17
predicted:pyroelectric-fusion:muon-free-still-not-mucf,pyroelectric-fusion,library/pyroelectric-fusion.md,failure_mode,failure,scale,node_count,"A pyroelectric LiTaO3 + D cell with no muon source should still be able to emit 2.45 MeV D–D neutrons on a thermal ramp, and that burst should not collapse after 2.197 μs. The yield should track ΔT and D inventory, not stopped-muon number or sticking.","Pyroelectric fusion is a polar-field beam gate. It is not the μCF cycle and not a muon-free substitute for that cycle.",envelope,Pyroelectric neutrons do not die with τμ.,,,,ramp clock ≠ τμ,high,Downward from energy-gate. Distinguishes the two uncommon H gates. Bounds EM-LENR: a pulsed-coil hydride is neither machine.,2026-08-17
predicted:coulomb-blockade:ec-is-not-phi,coulomb-blockade,library/coulomb-blockade.md,energy_barrier,requirement,threshold,energy,"On a given island the charging energy Ec = e²/2C should not be required to equal the work function φ of the leads. Changing lead φ (or the photoelectric threshold of the same metal) should not be sold as moving the diamond period.","One design, two gates. Ec is electrostatic; φ is a surface unbinding. Identifying them collapses the charging island into the photoelectric face.",envelope,Ec is not φ.,,,,Ec ≠ φ,high,Twin of predicted:photoelectric-threshold:not-the-plasma-edge, inside energy-gate.,2026-08-17
predicted:coherent-neutrino-scattering:no-ibd-threshold,coherent-neutrino-scattering,library/coherent-neutrino-scattering.md,failure_mode,failure,threshold,energy,"A CEνNS target exposed to neutrinos well below the 1.8 MeV inverse-beta-decay threshold should still produce N² recoils while qR ≪ 1. The IBD channel staying shut is not this collapse.","The operating window is the coherence condition, not a rest-mass or charged-current gate. A large rate step at 1.8 MeV on the same nucleus would be a different machine.",envelope,CEνNS does not turn on at the IBD threshold.,max,2.88e-13,J,Eν < 1.8 MeV still CEνNS if qR≪1,medium,Same-sample commitment. Extracted rows already say there is no IBD gate; this row is the would-be observation.,2026-08-17
predicted:mossbauer-effect:f-dies-at-tm,mossbauer-effect,library/mossbauer-effect.md,failure_mode,failure,threshold,temperature,"The recoilless fraction f of a crystalline host should collapse or vanish at Tm when Bragg order and the bound-host buffer are lost. A melt or liquid of the same nuclei should not show this resonance.","No grid ⇒ no recoilless channel. Sibling of shear sound and crystal κ dying at the same Tm.",envelope,Mössbauer f does not survive melting.,min,,K,T → Tm ⇒ f → 0,high,Third melt twin on oscillator-grid. File already names melt as a collapse; this row pins it to the shared grid-loss test.,2026-08-17
predicted:pyroelectric-fusion:dies-above-host-tc,pyroelectric-fusion,library/pyroelectric-fusion.md,failure_mode,failure,threshold,temperature,"A pyroelectric D–D cell whose host is taken through its ferroelectric Tc (LiTaO3 ~890 K) should lose the accelerating potential and the 2.45 MeV neutron burst even if deuterium is still present.","The polar latch writes the field. Above Tc the field engine is gone; the nuclear gate has nothing to open it.",envelope,Pyroelectric fusion dies with the polar host.,min,,K,T → Tc(host) (LiTaO3 ~890 K),high,Downward from polar-latch. Twin of piezoelectricity:failure_mode:ferroelectric-tc. Ordinary ramps stay far below this cliff.,2026-08-17
predicted:casimir-force:starved-faces-kill-force,casimir-force,library/casimir-force.md,failure_mode,failure,scale,length,"A pair of plates whose metal faces are already islanded or plasma-transparent in the visible — so that ordinary reflectivity has collapsed — should not produce a conducting-plate Casimir attraction of the 1/d^4 class at the same gap. Dielectric contrast if any is a different, weaker channel.","The faces still need a screening population. Starve that buffer and the mode cutoff of this kind dies with the mirror.",envelope,Starved screening faces starve Casimir contrast.,max,1e-08,m,disconnected / plasma-transparent faces,medium,Extends coupled-screening-failure onto Casimir. Do not predict the π²ℏc/240 prefactor. Localized particle plasmons / patch charge are not this claim.,2026-08-17
