impl_key,design_key,membership,notes
melting:consistency_gap:lindemann-not-derived,oscillator-grid,core,
thermal-conductivity-phonon:hardware_scale:lattice-plus-mfp,oscillator-grid,core,
thermal-conductivity-phonon:failure_mode:mfp-collapse,oscillator-grid,core,
thermal-conductivity-phonon:failure_mode:casimir,oscillator-grid,core,
elasticity:hardware_scale:ion-grid,oscillator-grid,core,
elasticity:failure_mode:yield-fracture,oscillator-grid,core,
elasticity:failure_mode:g-collapse-melt,oscillator-grid,core,
elasticity:emergent_output:moduli-class,oscillator-grid,core,
thermal-expansion:hardware_scale:anharmonic-wells,oscillator-grid,core,
thermal-expansion:failure_mode:harmonic-limit,oscillator-grid,core,
thermal-expansion:emergent_output:alpha-class,oscillator-grid,core,
magnetostriction:hardware_scale:moment-plus-lattice,oscillator-grid,supporting,Also on the latch
magnetostriction:failure_mode:lattice-shock,oscillator-grid,supporting,
piezoelectricity:hardware_scale:inversion-free-lattice,oscillator-grid,supporting,Also on the polar latch
piezoelectricity:failure_mode:inversion,oscillator-grid,supporting,
piezoelectricity:failure_mode:grid-loss,oscillator-grid,supporting,
thermal-equilibrium-temperature:hardware_scale:one-over-sqrt-n,ensemble-average,core,
thermal-equilibrium-temperature:clock_latency:exchange-window,ensemble-average,core,
thermal-equilibrium-temperature:failure_mode:underpopulated,ensemble-average,core,
thermal-equilibrium-temperature:emergent_output:shared-t,ensemble-average,core,
thermal-equilibrium-temperature:consistency_gap:underived-k-and-n,ensemble-average,core,
ideal-gas-pressure:hardware_scale:knudsen-path,ensemble-average,core,
ideal-gas-pressure:failure_mode:knudsen,ensemble-average,core,
ideal-gas-pressure:emergent_output:p-nkt,ensemble-average,core,
blackbody-spectrum:hardware_scale:mode-buffer,ensemble-average,core,
blackbody-spectrum:emergent_output:planck-curve,ensemble-average,core,
blackbody-spectrum:failure_mode:few-mode,ensemble-average,core,
stefan-boltzmann:emergent_output:t4-law,ensemble-average,core,
stefan-boltzmann:consistency_gap:defined-sigma,ensemble-average,core,
electron-heat-capacity:hardware_scale:fermi-slice,ensemble-average,core,
electron-heat-capacity:emergent_output:gamma-t,ensemble-average,core,
electron-heat-capacity:failure_mode:superconducting-gap,ensemble-average,core,Gap replaces the average
brownian-motion:emergent_output:einstein-d,ensemble-average,core,
brownian-motion:failure_mode:large-body-still,ensemble-average,core,
johnson-nyquist-noise:emergent_output:4ktr-deltaf,ensemble-average,core,
johnson-nyquist-noise:failure_mode:t-to-zero,ensemble-average,core,
curie-paramagnetism:hardware_scale:unlocked-population,ensemble-average,core,
curie-paramagnetism:emergent_output:curie-chi,ensemble-average,core,
curie-paramagnetism:failure_mode:order-lock,ensemble-average,core,
permanent-magnet-latch:energy_barrier:anisotropy,ensemble-average,contrast,Latch replaces the unlocked average
superconductivity:energy_barrier:spectroscopic-gap,ensemble-average,contrast,Gap replaces γT
exchange-bias:hardware_scale:nested-latches,exchange-pin,core,
exchange-bias:energy_barrier:unidirectional-pin,exchange-pin,core,
exchange-bias:failure_mode:blocking,exchange-pin,core,TB not FM Tc
exchange-bias:failure_mode:fm-dilution,exchange-pin,core,
exchange-bias:emergent_output:loop-shift,exchange-pin,core,
exchange-bias:emergent_output:zero-hold-power,exchange-pin,core,
exchange-bias:consistency_gap:interface-jex,exchange-pin,core,
antiferromagnetic-order:hardware_scale:two-sublattices,exchange-pin,supporting,The pin
antiferromagnetic-order:failure_mode:neel,exchange-pin,supporting,TN ≥ TB
ferromagnetic-hysteresis:emergent_output:remanent-branch,exchange-pin,supporting,The FM being pinned
ferromagnetic-hysteresis:consistency_gap:mesoscale-hc,exchange-pin,supporting,
quantum-hall-effect:hardware_scale:2deg,gapped-condensate,contrast,2DEG plus edge path is not the pairing condensate
quantum-hall-effect:energy_barrier:landau-gap,gapped-condensate,contrast,Landau / mobility gap is not 2Δ
quantum-hall-effect:emergent_output:rk-plateau,gapped-condensate,contrast,RK = h/e² is not Φ0
quantum-hall-effect:failure_mode:in-plane-b,gapped-condensate,contrast,In-plane B is a non-occurrence of this leftover
quantum-hall-effect:clock_latency:cyclotron,collective-screening,contrast,Same eB/m clock; output is a DC plateau not a re-radiated field
muon-catalyzed-fusion:hardware_scale:muon-plus-two-nuclei,energy-gate,core,N=1 muon plus two nuclei
muon-catalyzed-fusion:clock_latency:muon-lifetime,energy-gate,core,Hard stop is τμ
muon-catalyzed-fusion:failure_mode:no-muon,energy-gate,core,Missing node shuts the gate
muon-catalyzed-fusion:emergent_output:fusions-per-muon,energy-gate,core,Yield per stopped muon
muon-catalyzed-fusion:consistency_gap:not-a-latch,anisotropy-latch,contrast,Spent muon is not 0 W remanence
aharonov-bohm:emergent_output:h-over-e,gapped-condensate,contrast,h/e is not h/2e
aharonov-bohm:consistency_gap:not-pair-quantum,gapped-condensate,contrast,Single-charge period
casimir-force:hardware_scale:gap,collective-screening,contrast,Gap modes are not a metal-film buffer
casimir-force:failure_mode:large-gap,collective-screening,supporting,Same starve-the-responding-depth class
coulomb-blockade:energy_barrier:charging-energy,energy-gate,core,N=1 charging gate
coulomb-blockade:failure_mode:thermal-or-open,energy-gate,core,
coulomb-blockade:hardware_scale:small-island,energy-gate,core,
deuteron-photodisintegration:energy_barrier:binding,energy-gate,core,2.224 MeV unbinding
deuteron-photodisintegration:failure_mode:under-threshold,energy-gate,core,
deuteron-photodisintegration:hardware_scale:photon-plus-deuteron,energy-gate,core,
pyroelectric-fusion:failure_mode:no-field-or-no-d,energy-gate,core,Nuclear channel
pyroelectric-fusion:hardware_scale:crystal-plus-d,energy-gate,core,
pyroelectric-fusion:hardware_scale:crystal-plus-d,polar-latch,supporting,Polar crystal writes the field
pyroelectric-fusion:consistency_gap:not-mucf-not-lenr,energy-gate,core,
coherent-neutrino-scattering:hardware_scale:neutrino-plus-nucleus,energy-gate,supporting,Another extra-node conversion
coherent-neutrino-scattering:failure_mode:coherence-lost,energy-gate,supporting,
mossbauer-effect:hardware_scale:bound-host,oscillator-grid,core,Lattice is the recoilless buffer
mossbauer-effect:failure_mode:no-lattice,oscillator-grid,core,
quantum-point-contact:consistency_gap:not-qhe,gapped-condensate,contrast,No B; not the pairing condensate
quantum-point-contact:emergent_output:two-e-squared-over-h,gapped-condensate,contrast,2e²/h is not RH
neutron-gravitational-states:consistency_gap:gapped-name-loose,gapped-condensate,contrast,peV gravity well is not 2Δ


